player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp,team_days_rest,team_is_b2b,team_is_3in4,load_mgmt_risk,opp_days_rest,opp_is_b2b,rest_advantage_days,tier,raw_fp_sd,tier_cv,tier_expected_sd,value_ratio,value_vs_tier,archetype
Jamal Shead,PG/SG,PG,12.77,4200,TOR,CLE,away,129.0,18.64,0.8248,15.5,0.6771221532091097,0.8500221449275361,0.9818583868898741,1.0023435897414683,1.1469431833670591,170.8,1.0,False,5.61,0.9,1.04,12.742711563405518,5.88,21.6,6.9,14.700000000000001,0.695,39.3,5.3,3,False,False,False,3,False,0,value,7.86,0.466,5.51,3.0,-0.448,Playmaker
Fred VanVleet,PG,,16.58,3500,HOU,LAL,away,102.5,0.0,1.0,20.0,1.1354748603351956,1.039741620111732,1.0076429727476555,0.9746,0.9069671283853628,0.0,0.85,True,,0.214,0.9713999999999999,12.678025309606069,10.292100000000001,28.1,2.4,25.700000000000003,1.216,,,3,False,False,False,3,False,0,punt,14.325,0.918,8.36,3.16,0.317,3-and-D Wing
Javonte Green,SF,SG,12.07,3600,DET,ORL,home,115.5,15.31,0.8699,14.8,1.1685947955390337,0.9179805695167287,0.9923570272523445,1.0313661710969078,1.0269012650865201,170.8,1.0,False,7.37,0.9,1.04,12.111100804413828,7.8124340000000005,23.8,4.3,19.5,0.965,44.3,0.0,2,False,False,False,2,False,0,punt,7.6648000000000005,0.515,11.26,4.14,0.725,3-and-D Wing
Marcus Sasser,PG,PG,12.77,3500,DET,ORL,home,115.5,10.4,0.8667,19.6,1.5475985130111527,0.9146037011152417,0.9923570272523445,1.0045867216924627,1.0269012650865201,79.2,1.0,False,7.74,0.557,1.0057,12.024758798025166,8.45,24.7,3.6,21.099999999999998,1.054,33.9,0.0,2,False,False,False,2,False,0,punt,8.175199999999998,0.672,9.5,3.59,0.496,Playmaker
Caris LeVert,SG/SF,SF,12.43,3600,DET,ORL,home,115.5,17.25,0.8984,18.4,1.452847583643123,0.9480558037174721,0.9923570272523445,0.9503409507215865,1.0269012650865201,125.0,1.0,False,4.31,0.9,1.04,11.869008780320458,5.9082543,20.7,6.0,14.7,0.744,31.7,2.2,2,False,False,False,2,False,0,punt,6.028,0.684,6.66,2.45,0.021,Scoring Wing
Rui Hachimura,SF/PF,PF,17.05,5200,LAL,HOU,home,106.0,18.76,0.6629,15.2,1.3426275115919633,0.7038881213292119,1.0013448117769443,0.9310023246969861,0.9187703763530883,141.7,1.0,False,6.96,0.9,1.04,10.690616735407385,5.1073151,18.4,5.6,12.799999999999999,0.721,38.3,1.2,3,False,False,False,3,False,0,mid,7.6973,0.492,3.89,2.06,-0.578,3-and-D Wing
Jevon Carter,PG,PG,12.77,3500,ORL,DET,away,111.0,13.14,0.8012,17.0,1.3039584685269305,0.8442183569110967,0.9890594394307187,0.9712638085172975,1.0088522870978687,110.4,1.0,False,7.92,0.701,1.0201,10.657997583746733,8.5480131,23.5,2.1,21.4,1.205,29.4,-2.0,2,False,False,False,2,False,0,punt,8.67,0.78,8.41,3.18,0.325,Playmaker
Jamison Battle,SF,PF,13.18,3500,TOR,CLE,away,129.0,5.5,0.6471,14.1,0.6159627329192546,0.6668881304347826,0.9818583868898741,1.0241339192762053,1.1469431833670591,127.1,1.0,False,5.13,0.9,1.04,10.542636827905643,5.52,18.8,5.0,13.8,0.783,23.2,0.0,3,False,False,False,3,False,0,punt,5.52,0.514,8.12,3.07,0.279,3-and-D Wing
Sam Merrill,SF/SG,SG,12.43,3600,CLE,TOR,home,130.5,20.82,0.7857,17.0,0.0,0.7857,0.9868632842358697,0.9263012253338674,1.1236743215031315,108.3,1.0,False,4.75,0.9,1.04,10.433040843242054,8.0509312,22.5,2.4,20.1,1.157,44.5,1.7,3,False,False,False,3,False,0,punt,8.318050000000001,0.822,7.65,2.81,0.171,Shooting Wing
Jaxson Hayes,C,C,11.31,3700,LAL,HOU,home,106.0,16.87,0.9219,13.0,1.148299845440495,0.9789024876352396,1.0013448117769443,0.949551227618856,0.9187703763530883,137.5,1.0,False,6.03,0.9,1.04,10.058759207088512,8.045889400000002,22.1,2.0,20.1,1.197,46.5,2.2,3,False,False,False,3,False,0,punt,8.384899999999998,1.013,6.26,2.24,-0.067,Traditional Big
Sandro Mamukelashvili,C,C,7.52,3800,TOR,CLE,away,129.0,23.03,1.0516,18.8,0.8212836438923395,1.0837576231884058,0.9818583868898741,1.018586777985912,1.1469431833670591,166.7,1.0,False,6.04,0.9,1.04,9.72236985628379,10.06,24.8,0.0,24.8,1.551,51.4,2.9,3,False,False,False,3,False,0,punt,10.06,0.814,9.34,3.25,0.354,Stretch 5
Goga Bitadze,C,C,7.52,3700,ORL,DET,away,111.0,17.95,1.1809,13.5,1.035496430889033,1.2443053640493187,0.9890594394307187,0.9589558424761664,1.0088522870978687,133.3,1.0,False,5.07,0.9,1.04,9.311652016611902,8.8064966,22.5,0.5,22.0,1.416,46.1,2.4,2,False,False,False,2,False,0,punt,9.02,0.754,9.05,3.24,0.35,Traditional Big
A.J. Lawson,SG,SG,9.0,3500,TOR,CLE,away,129.0,8.61,0.916,17.5,0.7644927536231885,0.9440110144927536,0.9818583868898741,0.9833606211868496,1.1469431833670591,50.0,0.95,True,6.39,0.508,1.0008,8.945282173054178,7.0827281,19.6,1.9,17.700000000000003,1.191,28.4,0.0,3,False,False,False,3,False,0,punt,7.41,0.787,6.85,2.59,0.079,Combo Guard
